video_id,title,description,title_description,label1,label2
zFFQcQk5Deg,NA'S BEST TAKING OVER KOREAN SOLO QUEUE ft. TFBlade (Korea Bootcamp Day 8),"👾 Watch me LIVE on Twitch: https://www.twitch.tv/katevolved
🚨 2nd Channel (more league): https://www.youtube.com/channel/UCduCPIWb2ZEF5hvaVcoVIWQ?sub_confirmation=1
⇩ OPEN ME ⇩
If you enjoyed the video please hit 👍 LIKE and ⭐ SUBSCRIBE! Thanks for your support. 💜

➡️ Business Inquiries: contact@katevolved.gg

Become a Youtube Member for Extra Perks! https://www.youtube.com/channel/UC4XryR0fHLOlwCO4KLvn-ow/join

Follow my Socials:
► Twitch: https://www.twitch.tv/katevolved
► Twitter:  https://www.twitter.com/katevolved
► Instagram: https://www.instagram.com/jacksondohan
► Discord: https://discord.gg/Z8W53Ha
► Facebook: https://www.facebook.com/KatEvolvedlol
► Tiktok: https://www.tiktok.com/@katevolved
► Patreon: https://patreon.com/katevolved

 ♪ Intro Song: Undertale OST - Start Menu
 ♪ Outro Song: Mighty Switch Force 2 OST - Track 01 - Title

#KatEvolved #LeagueOfLegends #Katarina 

Pentakill, Katarina, KatEvolved, Penta, Katarina Season 12, katarina runes, katarina guide, challenger katarina, best katarina, lol montage, lol highlights, league of legends montage","NA'S BEST TAKING OVER KOREAN SOLO QUEUE ft. TFBlade (Korea Bootcamp Day 8) 👾 Watch me LIVE on Twitch: https://www.twitch.tv/katevolved
🚨 2nd Channel (more league): https://www.youtube.com/channel/UCduCPIWb2ZEF5hvaVcoVIWQ?sub_confirmation=1
⇩ OPEN ME ⇩
If you enjoyed the video please hit 👍 LIKE and ⭐ SUBSCRIBE! Thanks for your support. 💜

➡️ Business Inquiries: contact@katevolved.gg

Become a Youtube Member for Extra Perks! https://www.youtube.com/channel/UC4XryR0fHLOlwCO4KLvn-ow/join

Follow my Socials:
► Twitch: https://www.twitch.tv/katevolved
► Twitter:  https://www.twitter.com/katevolved
► Instagram: https://www.instagram.com/jacksondohan
► Discord: https://discord.gg/Z8W53Ha
► Facebook: https://www.facebook.com/KatEvolvedlol
► Tiktok: https://www.tiktok.com/@katevolved
► Patreon: https://patreon.com/katevolved

 ♪ Intro Song: Undertale OST - Start Menu
 ♪ Outro Song: Mighty Switch Force 2 OST - Track 01 - Title

#KatEvolved #LeagueOfLegends #Katarina 

Pentakill, Katarina, KatEvolved, Penta, Katarina Season 12, katarina runes, katarina guide, challenger katarina, best katarina, lol montage, lol highlights, league of legends montage",yes,TFBlade
CMIBOLAcczA,TEAMING UP WITH THEBAUSFFS VS PRO PLAYERS... CAN WE CARRY THIS?,"👾 Watch me LIVE on Twitch: https://www.twitch.tv/katevolved
🚨 2nd Channel (more league): https://www.youtube.com/channel/UCduCPIWb2ZEF5hvaVcoVIWQ?sub_confirmation=1
⇩ OPEN ME ⇩
If you enjoyed the video please hit 👍 LIKE and ⭐ SUBSCRIBE! Thanks for your support. 💜

➡️ Business Inquiries: contact@katevolved.gg
https://youtube.com/tobuofficial
Become a Youtube Member for Extra Perks! https://www.youtube.com/channel/UC4XryR0fHLOlwCO4KLvn-ow/join

Follow my Socials:
► Twitch: https://www.twitch.tv/katevolved
► Twitter:  https://www.twitter.com/katevolved
► Instagram: https://www.instagram.com/jacksondohan
► Discord: https://discord.gg/Z8W53Ha
► Facebook: https://www.facebook.com/KatEvolvedlol
► Tiktok: https://www.tiktok.com/@katevolved
► Patreon: https://patreon.com/katevolved

 ♪ Intro Song: Undertale OST - Start Menu
 ♪ Outro Song: Mighty Switch Force 2 OST - Track 01 - Title
Song: Cloud 9 - Itro & Tobu - https://www.youtube.com/tobuofficial

#KatEvolved #LeagueOfLegends #Katarina 

Pentakill, Katarina, KatEvolved, Penta, Katarina Season 12, katarina runes, katarina guide, challenger katarina, best katarina, lol montage, lol highlights, league of legends montage","TEAMING UP WITH THEBAUSFFS VS PRO PLAYERS... CAN WE CARRY THIS? 👾 Watch me LIVE on Twitch: https://www.twitch.tv/katevolved
🚨 2nd Channel (more league): https://www.youtube.com/channel/UCduCPIWb2ZEF5hvaVcoVIWQ?sub_confirmation=1
⇩ OPEN ME ⇩
If you enjoyed the video please hit 👍 LIKE and ⭐ SUBSCRIBE! Thanks for your support. 💜

➡️ Business Inquiries: contact@katevolved.gg
https://youtube.com/tobuofficial
Become a Youtube Member for Extra Perks! https://www.youtube.com/channel/UC4XryR0fHLOlwCO4KLvn-ow/join

Follow my Socials:
► Twitch: https://www.twitch.tv/katevolved
► Twitter:  https://www.twitter.com/katevolved
► Instagram: https://www.instagram.com/jacksondohan
► Discord: https://discord.gg/Z8W53Ha
► Facebook: https://www.facebook.com/KatEvolvedlol
► Tiktok: https://www.tiktok.com/@katevolved
► Patreon: https://patreon.com/katevolved

 ♪ Intro Song: Undertale OST - Start Menu
 ♪ Outro Song: Mighty Switch Force 2 OST - Track 01 - Title
Song: Cloud 9 - Itro & Tobu - https://www.youtube.com/tobuofficial

#KatEvolved #LeagueOfLegends #Katarina 

Pentakill, Katarina, KatEvolved, Penta, Katarina Season 12, katarina runes, katarina guide, challenger katarina, best katarina, lol montage, lol highlights, league of legends montage",yes,THEBAUSFFS
pMrGZht_d68,The best duo imaginable ft. TheBausffs,"● Download Mobalytics, the all-in-one companion for League of Legends  -https://mobalytics.gg/nemesis/yt

● Follow me on social media:
https://twitch.tv/lol_nemesis
https://instagram.com/lol_nemesis
https://twitter.com/nemesis_lol

● Editor of this video: Twiddli
https://twitter.com/Twiddli
https://www.youtube.com/c/Twiddli/videos

● Join my discord for updates, announcements and more: 
https://discord.gg/lolnemesis

#Nemesis #TheBausffs #Viktor","The best duo imaginable ft. TheBausffs ● Download Mobalytics, the all-in-one companion for League of Legends  -https://mobalytics.gg/nemesis/yt

● Follow me on social media:
https://twitch.tv/lol_nemesis
https://instagram.com/lol_nemesis
https://twitter.com/nemesis_lol

● Editor of this video: Twiddli
https://twitter.com/Twiddli
https://www.youtube.com/c/Twiddli/videos

● Join my discord for updates, announcements and more: 
https://discord.gg/lolnemesis

#Nemesis #TheBausffs #Viktor",yes,TheBausffs
cuJYuAj3Fcg,The Dream Team ft. Rekkles & TheBausffs,"● Download Mobalytics, the all-in-one companion for League of Legends  -https://mobalytics.gg/nemesis/yt

● Follow me on social media:
https://twitch.tv/lol_nemesis
https://instagram.com/lol_nemesis
https://twitter.com/nemesis_lol

● Editor of this video: Twiddli
https://twitter.com/Twiddli
https://www.youtube.com/c/Twiddli/videos

● Join my discord for updates, announcements and more: 
https://discord.gg/lolnemesis

#Nemesis #Rekkles #TheBausffs","The Dream Team ft. Rekkles & TheBausffs ● Download Mobalytics, the all-in-one companion for League of Legends  -https://mobalytics.gg/nemesis/yt

● Follow me on social media:
https://twitch.tv/lol_nemesis
https://instagram.com/lol_nemesis
https://twitter.com/nemesis_lol

● Editor of this video: Twiddli
https://twitter.com/Twiddli
https://www.youtube.com/c/Twiddli/videos

● Join my discord for updates, announcements and more: 
https://discord.gg/lolnemesis

#Nemesis #Rekkles #TheBausffs",yes,"Rekkles, TheBausffs"
qQxmxCU0hPA,VIT vs FNC | VIT Superteam already struggling? ft. RANGERZX,"Guest on the video: https://twitch.tv/RANGERZX

● Download Mobalytics, the all-in-one companion for League of Legends  -https://mobalytics.gg/nemesis/yt

● Follow me on social media:
https://twitch.tv/lol_nemesis
https://instagram.com/lol_nemesis
https://twitter.com/nemesis_lol

● Editor of this video: Twiddli
https://twitter.com/Twiddli
https://www.youtube.com/c/Twiddli/videos

● Join my discord for updates, announcements and more: 
https://discord.gg/lolnemesis

#Nemesis #VIT #FNC","VIT vs FNC | VIT Superteam already struggling? ft. RANGERZX Guest on the video: https://twitch.tv/RANGERZX

● Download Mobalytics, the all-in-one companion for League of Legends  -https://mobalytics.gg/nemesis/yt

● Follow me on social media:
https://twitch.tv/lol_nemesis
https://instagram.com/lol_nemesis
https://twitter.com/nemesis_lol

● Editor of this video: Twiddli
https://twitter.com/Twiddli
https://www.youtube.com/c/Twiddli/videos

● Join my discord for updates, announcements and more: 
https://discord.gg/lolnemesis

#Nemesis #VIT #FNC",yes,RANGERZX
bIIhK2KXt7Y,Clash with @Thebausffs @midbeast9495 @TFBlade @YamatosDeath1 | Part 1,"● Download Mobalytics, the all-in-one companion for League of Legends  -https://mobalytics.gg/nemesis/yt

● Follow me on social media:
https://twitch.tv/lol_nemesis
https://instagram.com/lol_nemesis
https://twitter.com/nemesis_lol

● Editor of this video: Twiddli
https://twitter.com/Twiddli
https://www.youtube.com/c/Twiddli/videos

● Join my discord for updates, announcements and more: 
https://discord.gg/lolnemesis

#Nemesis #TheBausffs #Midbeast","Clash with @Thebausffs @midbeast9495 @TFBlade @YamatosDeath1 | Part 1 ● Download Mobalytics, the all-in-one companion for League of Legends  -https://mobalytics.gg/nemesis/yt

● Follow me on social media:
https://twitch.tv/lol_nemesis
https://instagram.com/lol_nemesis
https://twitter.com/nemesis_lol

● Editor of this video: Twiddli
https://twitter.com/Twiddli
https://www.youtube.com/c/Twiddli/videos

● Join my discord for updates, announcements and more: 
https://discord.gg/lolnemesis

#Nemesis #TheBausffs #Midbeast",yes,"Thebausffs, midbeast9495, TFBlade, YamatosDeath1"
hLUgv2FwXRU,The Dynamic Duo Returns ft. Sanchovies | Humzh,"🔥
Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

Shoutout to my dynamic duo - @Sanchovies 

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/2syYVjw
Tiktok - https://www.tiktok.com/@humzhlol
Clips Channel - @humzhshorts5372 

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
https://twitter.com/saneditt

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy

#Humzh​​​ #LeagueofLegends​​​ #Draven","The Dynamic Duo Returns ft. Sanchovies | Humzh 🔥
Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

Shoutout to my dynamic duo - @Sanchovies 

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/2syYVjw
Tiktok - https://www.tiktok.com/@humzhlol
Clips Channel - @humzhshorts5372 

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
https://twitter.com/saneditt

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy

#Humzh​​​ #LeagueofLegends​​​ #Draven",yes,Sanchovies
A5fCZa6cc88,WE BULLIED OUR AMUMU FOR INTING US ft. Sanchovies | Humzh,"🔥
Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/2syYVjw
Tiktok - https://www.tiktok.com/@humzhlol
Clips Channel -  @Humzh Clips  

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
CONTACT - https://twitter.com/saneditt

🎨 Thumbnail by Kaleb -
CONTACT - https://twitter.com/KalebO__O

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy

#Humzh​​​ #LeagueofLegends​​​ #Draven","WE BULLIED OUR AMUMU FOR INTING US ft. Sanchovies | Humzh 🔥
Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/2syYVjw
Tiktok - https://www.tiktok.com/@humzhlol
Clips Channel -  @Humzh Clips  

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
CONTACT - https://twitter.com/saneditt

🎨 Thumbnail by Kaleb -
CONTACT - https://twitter.com/KalebO__O

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy

#Humzh​​​ #LeagueofLegends​​​ #Draven",yes,Sanchovies
QUALHCgmd_M,BOOSTING MIDBEAST WITH MY TWITCH IN MASTERS | Humzh,"🔥
Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/2syYVjw
Tiktok - https://www.tiktok.com/@humzhlol
Clips Channel -  @Humzh Clips  

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
CONTACT - https://twitter.com/saneditt

🎨 Thumbnail by Kaleb -
CONTACT - https://twitter.com/KalebO__O

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy

#Humzh​​​ #LeagueofLegends​​​ #Twitch","BOOSTING MIDBEAST WITH MY TWITCH IN MASTERS | Humzh 🔥
Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/2syYVjw
Tiktok - https://www.tiktok.com/@humzhlol
Clips Channel -  @Humzh Clips  

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
CONTACT - https://twitter.com/saneditt

🎨 Thumbnail by Kaleb -
CONTACT - https://twitter.com/KalebO__O

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy

#Humzh​​​ #LeagueofLegends​​​ #Twitch",yes,MIDBEAST
jKQv8W5Iz0s,"THE STRONGEST CLASH TEAM TO EXIST ft. Sanchovies, Midbeast, Repobah, Vakin | Humzh","🔥
Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

Shoutout to the boys - 
@Sanchovies 
@midbeast9495 
@VakinYT 
@Repobah 

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/2syYVjw
Tiktok - https://www.tiktok.com/@humzhlol
Clips Channel -  @Humzh Clips  

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
CONTACT - https://twitter.com/saneditt

🎨 Thumbnail by Kaleb -
CONTACT - https://twitter.com/KalebO__O

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy

#Humzh​​​ #LeagueofLegends​​​ #Clash","THE STRONGEST CLASH TEAM TO EXIST ft. Sanchovies, Midbeast, Repobah, Vakin | Humzh 🔥
Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

Shoutout to the boys - 
@Sanchovies 
@midbeast9495 
@VakinYT 
@Repobah 

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/2syYVjw
Tiktok - https://www.tiktok.com/@humzhlol
Clips Channel -  @Humzh Clips  

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
CONTACT - https://twitter.com/saneditt

🎨 Thumbnail by Kaleb -
CONTACT - https://twitter.com/KalebO__O

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy

#Humzh​​​ #LeagueofLegends​​​ #Clash",yes,"Sanchovies, Midbeast, Repobah, Vakin"
ZwLedyZ7tJ4,BEST DRAVEN + ALISTAR NA DUO IN CHALLENGER | @humzh  @Alicopter,"Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/humzh
Tiktok - https://www.tiktok.com/@humzhlol

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
CONTACT - https://twitter.com/saneditt

🎨 Thumbnail by Kaleb -
CONTACT - https://twitter.com/KalebO__O

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy
#humzh #leagueoflegends #draven #league #adc #adcarry #midlane #duo","BEST DRAVEN + ALISTAR NA DUO IN CHALLENGER | @humzh  @Alicopter Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/humzh
Tiktok - https://www.tiktok.com/@humzhlol

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by saneditt
CONTACT - https://twitter.com/saneditt

🎨 Thumbnail by Kaleb -
CONTACT - https://twitter.com/KalebO__O

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy
#humzh #leagueoflegends #draven #league #adc #adcarry #midlane #duo",yes,"humzh, Alicopter"
wUqpXYCombE,WE WOULD MAKE NA GREAT AGAIN | @humzh @Alicopter @Yassuo,"Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/humzh
Tiktok - https://www.tiktok.com/@humzhlol

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by fea
CONTACT - https://twitter.com/Feaedit

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy
#humzh  #leagueoflegends #draven #league #adc #adcarry #midlane #duo","WE WOULD MAKE NA GREAT AGAIN | @humzh @Alicopter @Yassuo Remember to leave a like and subscribe for more content! Click the bell to be notified as soon as a video goes live! 🤯

🗿 Follow my stuff! 
Twitch - http://www.twitch.tv/humzh
Twitter - https://twitter.com/humzhlol
Discord - https://discord.gg/humzh
Tiktok - https://www.tiktok.com/@humzhlol

💼 BUSINESS INQUIRIES - humzhlol@gmail.com

👑 Edited by fea
CONTACT - https://twitter.com/Feaedit

🎵 Outro: 
lvusm - long way
https://soundcloud.com/lvusm/long-wayy
#humzh  #leagueoflegends #draven #league #adc #adcarry #midlane #duo",yes,"humzh, Alicopter, Yassuo"
tzZeuTyy5E8,everybody went smite in RANKED.. ft. RATIRL,"some extra spicy gameplay of people having fun in ranked. 

FOLLOW ME
SECOND CHANNEL: https://www.youtube.com/channel/UCOni...
TWITCH: https://www.twitch.tv/Sanchovies
TWITTER:  https://twitter.com/Sanchovies

Editor stuff, come flame me or whatever.
https://twitter.com/Grapfic
https://twitch.tv/Grapfic


Thumbnail by Kaleb:
TWITTER: https://twitter.com/KalebO__O

#LeagueOfLegends #Sanchovies #RatIrl","everybody went smite in RANKED.. ft. RATIRL some extra spicy gameplay of people having fun in ranked. 

FOLLOW ME
SECOND CHANNEL: https://www.youtube.com/channel/UCOni...
TWITCH: https://www.twitch.tv/Sanchovies
TWITTER:  https://twitter.com/Sanchovies

Editor stuff, come flame me or whatever.
https://twitter.com/Grapfic
https://twitch.tv/Grapfic


Thumbnail by Kaleb:
TWITTER: https://twitter.com/KalebO__O

#LeagueOfLegends #Sanchovies #RatIrl",yes,RATIRL
-4-Ys9o-1fQ,THEBAUSFFS IS MY KRYPTONITE!,"I cant believe Thebausffs always gets away with this! 😡
What do you think? Leave a comment below and like the video if u enjoyed the content!

SOCIALS:
Twitch: https://twitch.tv/RANGERZX
Twitter : https://twitter.com/RANGERZXD 
Instagram : https://www.instagram.com/sxkuu
Discord : https://discordapp.com/invite/rangerzx 

Outro Song: Monrroe - Fleeting Love

Join the discord server below to connect with Ranger and other high elo league players!

Discord : https://discordapp.com/invite/rangerzx 

#LeagueOfLegends #Tryndamere #Thebausffs


Thumbnail and edit by Anact
Twitter: https://twitter.com/Anact_x","THEBAUSFFS IS MY KRYPTONITE! I cant believe Thebausffs always gets away with this! 😡
What do you think? Leave a comment below and like the video if u enjoyed the content!

SOCIALS:
Twitch: https://twitch.tv/RANGERZX
Twitter : https://twitter.com/RANGERZXD 
Instagram : https://www.instagram.com/sxkuu
Discord : https://discordapp.com/invite/rangerzx 

Outro Song: Monrroe - Fleeting Love

Join the discord server below to connect with Ranger and other high elo league players!

Discord : https://discordapp.com/invite/rangerzx 

#LeagueOfLegends #Tryndamere #Thebausffs


Thumbnail and edit by Anact
Twitter: https://twitter.com/Anact_x",yes,Thebausffs
CYWRfb0zD24,I carried with Tryndamere Midlane in Challenger ft. @Drututt1,"Tryndamere Midlane Comeback? Perhaps 🤔

SOCIALS:
Twitch: https://twitch.tv/RANGERZX
Twitter : https://twitter.com/RANGERZXD 
Instagram : https://www.instagram.com/sxkuu
Discord : https://discordapp.com/invite/rangerzx 

Outro Song: Monrroe - Fleeting Love

Join the discord server below to connect with Ranger and other high elo league players!

Discord : https://discordapp.com/invite/rangerzx 

#Tryndamere #LeagueOfLegends #Season12


Thumbnail and edit by Anact
Twitter: https://twitter.com/Anact_x","I carried with Tryndamere Midlane in Challenger ft. @Drututt1 Tryndamere Midlane Comeback? Perhaps 🤔

SOCIALS:
Twitch: https://twitch.tv/RANGERZX
Twitter : https://twitter.com/RANGERZXD 
Instagram : https://www.instagram.com/sxkuu
Discord : https://discordapp.com/invite/rangerzx 

Outro Song: Monrroe - Fleeting Love

Join the discord server below to connect with Ranger and other high elo league players!

Discord : https://discordapp.com/invite/rangerzx 

#Tryndamere #LeagueOfLegends #Season12


Thumbnail and edit by Anact
Twitter: https://twitter.com/Anact_x",yes,Drututt1
ZPJUi96a2U4,G2 Jankos tried to stop my Tryndamere.. ft. Brokenblade,"If u like this video and subscribe to the channel your Jungler will finally gank your lane! :)

*OPEN THIS*

SOCIALS:
Twitch: https://twitch.tv/RANGERZX
Twitter : https://twitter.com/RANGERZXD 
Instagram : https://www.instagram.com/sxkuu
Discord : https://discordapp.com/invite/rangerzx 

Outro Song: Monrroe - Fleeting Love

Join the discord server below to connect with Ranger and other high elo league players!

Discord : https://discordapp.com/invite/rangerzx 

#LeagueOfLegends #Challenger #Season12

Thumbnail and edit by Anact
Twitter: https://twitter.com/Anact_x

00:00-00:27 Intro Clip
00:28-01:35 Game Lobby
01:36-08:30 Game 1 VS G2 BrokenBlade
08:31-09:10 Post Game Lobby + React Andy
09:11-13:12 Game 2 VS G2 Jankos
13:13-13:46 Outro","G2 Jankos tried to stop my Tryndamere.. ft. Brokenblade If u like this video and subscribe to the channel your Jungler will finally gank your lane! :)

*OPEN THIS*

SOCIALS:
Twitch: https://twitch.tv/RANGERZX
Twitter : https://twitter.com/RANGERZXD 
Instagram : https://www.instagram.com/sxkuu
Discord : https://discordapp.com/invite/rangerzx 

Outro Song: Monrroe - Fleeting Love

Join the discord server below to connect with Ranger and other high elo league players!

Discord : https://discordapp.com/invite/rangerzx 

#LeagueOfLegends #Challenger #Season12

Thumbnail and edit by Anact
Twitter: https://twitter.com/Anact_x

00:00-00:27 Intro Clip
00:28-01:35 Game Lobby
01:36-08:30 Game 1 VS G2 BrokenBlade
08:31-09:10 Post Game Lobby + React Andy
09:11-13:12 Game 2 VS G2 Jankos
13:13-13:46 Outro",yes,Brokenblade
HCkukD5nB_M,POV What happens when 2 CHALLENGERS visit IRON @Davemon,"Just 2 Challengers visiting the depths of Elo Hell.... Nothing to see he

Like and comment if you enjoyed the video! Let's get this to 2000 LIKES!
Join the Copter Discord!
► https://discord.gg/ZXQUHjx

Find me on :
► INSTAGRAM - https://www.instagram.com/keghamka/?h...
► TWITCH - https://www.twitch.tv/alicopter
► TWITTER - https://www.twitter.com/RealAlicopter
► FACEBOOK STREAMS - https://www.fb.gg/AlicopterLoL

Join the Copter Discord!
► https://discord.gg/BHHJs2WynV

Edited by Daposun ( https://twitter.com/Daposun )
 @Alicopter","POV What happens when 2 CHALLENGERS visit IRON @Davemon Just 2 Challengers visiting the depths of Elo Hell.... Nothing to see he

Like and comment if you enjoyed the video! Let's get this to 2000 LIKES!
Join the Copter Discord!
► https://discord.gg/ZXQUHjx

Find me on :
► INSTAGRAM - https://www.instagram.com/keghamka/?h...
► TWITCH - https://www.twitch.tv/alicopter
► TWITTER - https://www.twitter.com/RealAlicopter
► FACEBOOK STREAMS - https://www.fb.gg/AlicopterLoL

Join the Copter Discord!
► https://discord.gg/BHHJs2WynV

Edited by Daposun ( https://twitter.com/Daposun )
 @Alicopter",yes,Davemon
YbU5uB-hgsE,THESE CHAMPIONS ARE FREELO w/@Davemon,"Like and comment if you enjoyed the video! Let's get this to 2000 LIKES!
Join the Copter Discord!
► https://discord.gg/ZXQUHjx

Find me on :
► INSTAGRAM - https://www.instagram.com/keghamka/?h...
► TWITCH - https://www.twitch.tv/alicopter
► TWITTER - https://www.twitter.com/RealAlicopter
► FACEBOOK STREAMS - https://www.fb.gg/AlicopterLoL

Join the Copter Discord!
► https://discord.gg/BHHJs2WynV

Edited by https://twitter.com/WYuezhong
 @Alicopter","THESE CHAMPIONS ARE FREELO w/@Davemon Like and comment if you enjoyed the video! Let's get this to 2000 LIKES!
Join the Copter Discord!
► https://discord.gg/ZXQUHjx

Find me on :
► INSTAGRAM - https://www.instagram.com/keghamka/?h...
► TWITCH - https://www.twitch.tv/alicopter
► TWITTER - https://www.twitter.com/RealAlicopter
► FACEBOOK STREAMS - https://www.fb.gg/AlicopterLoL

Join the Copter Discord!
► https://discord.gg/BHHJs2WynV

Edited by https://twitter.com/WYuezhong
 @Alicopter",yes,Davemon
Mpww_OXzQ4I,ALI'S COMPUTER ON LIFE SUPPORT AND @Davemon  SAMIRA INCIDENT,"Is it normal to not turn off your pc...?? And let us not talk about the davemon incident ... yep







Like and comment if you enjoyed the video! Let's get this to 2000 LIKES!
Join the Copter Discord!
► https://discord.gg/ZXQUHjx

Find me on :
► INSTAGRAM - https://www.instagram.com/keghamka/?h...
► TWITCH - https://www.twitch.tv/alicopter
► TWITTER - https://www.twitter.com/RealAlicopter
► FACEBOOK STREAMS - https://www.fb.gg/AlicopterLoL

Join the Copter Discord!
► https://discord.gg/BHHJs2WynV

Edited by Daposun
 @Alicopter","ALI'S COMPUTER ON LIFE SUPPORT AND @Davemon  SAMIRA INCIDENT Is it normal to not turn off your pc...?? And let us not talk about the davemon incident ... yep







Like and comment if you enjoyed the video! Let's get this to 2000 LIKES!
Join the Copter Discord!
► https://discord.gg/ZXQUHjx

Find me on :
► INSTAGRAM - https://www.instagram.com/keghamka/?h...
► TWITCH - https://www.twitch.tv/alicopter
► TWITTER - https://www.twitter.com/RealAlicopter
► FACEBOOK STREAMS - https://www.fb.gg/AlicopterLoL

Join the Copter Discord!
► https://discord.gg/BHHJs2WynV

Edited by Daposun
 @Alicopter",yes,Davemon
RKqMy0iTBAM,TUG OF WAR FOR THE MOST KILLS WITH @Davemon,"Nono, Davemon definitely not washed up this game... certainly not :))))


Like and comment if you enjoyed the video! Let's get this to 2000 LIKES!
Join the Copter Discord!
► https://discord.gg/ZXQUHjx

Find me on :
► INSTAGRAM - https://www.instagram.com/keghamka/?h...
► TWITCH - https://www.twitch.tv/alicopter
► TWITTER - https://www.twitter.com/RealAlicopter
► FACEBOOK STREAMS - https://www.fb.gg/AlicopterLoL

Join the Copter Discord!
► https://discord.gg/BHHJs2WynV

Edited by Daposun
 @Alicopter","TUG OF WAR FOR THE MOST KILLS WITH @Davemon Nono, Davemon definitely not washed up this game... certainly not :))))


Like and comment if you enjoyed the video! Let's get this to 2000 LIKES!
Join the Copter Discord!
► https://discord.gg/ZXQUHjx

Find me on :
► INSTAGRAM - https://www.instagram.com/keghamka/?h...
► TWITCH - https://www.twitch.tv/alicopter
► TWITTER - https://www.twitter.com/RealAlicopter
► FACEBOOK STREAMS - https://www.fb.gg/AlicopterLoL

Join the Copter Discord!
► https://discord.gg/BHHJs2WynV

Edited by Daposun
 @Alicopter",yes,"Davemon Nono, Davemon"
